iter	Passed	Remaining
0	0	597
1	1	640
2	2	763
3	3	956
4	5	1117
5	7	1164
6	8	1250
7	10	1337
8	12	1358
9	13	1372
10	15	1407
11	17	1423
12	18	1424
13	20	1418
14	21	1429
15	23	1439
16	24	1431
17	25	1417
18	27	1431
19	29	1430
20	30	1424
21	31	1411
22	33	1404
23	34	1414
24	36	1417
25	37	1407
26	38	1392
27	39	1385
28	41	1378
29	42	1364
30	43	1352
31	44	1341
32	45	1332
33	46	1330
34	47	1322
35	49	1314
36	50	1309
37	51	1303
38	52	1298
39	53	1294
40	55	1286
41	55	1277
42	56	1267
43	57	1259
44	59	1257
45	60	1253
46	61	1245
47	62	1237
48	63	1230
49	64	1226
50	65	1226
51	66	1221
52	68	1216
53	69	1211
54	70	1208
55	71	1203
56	72	1201
57	73	1195
58	74	1189
59	75	1183
60	76	1178
61	77	1173
62	78	1170
63	79	1162
64	80	1155
65	81	1148
66	82	1143
67	83	1139
68	84	1135
69	85	1140
70	86	1134
71	87	1127
72	88	1119
73	88	1113
74	89	1104
75	90	1102
76	91	1094
77	92	1087
78	92	1079
79	93	1071
80	93	1063
81	94	1057
82	94	1047
83	95	1041
84	96	1035
85	96	1030
86	97	1023
87	98	1017
88	98	1011
89	99	1004
90	99	997
91	100	990
92	100	983
93	101	975
94	101	969
95	102	962
96	102	957
97	103	951
98	103	945
99	104	938
100	104	933
101	105	927
102	105	921
103	106	920
104	107	914
105	107	909
106	108	904
107	109	900
108	109	895
109	110	890
110	110	885
111	111	880
112	111	876
113	112	871
114	112	867
115	113	862
116	113	857
117	114	853
118	114	848
119	115	845
120	115	841
121	116	836
122	116	833
123	117	829
124	117	825
125	118	821
126	118	816
127	119	813
128	120	811
129	120	807
130	121	804
131	121	801
132	122	797
133	122	794
134	123	791
135	124	789
136	124	785
137	125	781
138	125	777
139	125	773
140	126	770
141	126	765
142	127	762
143	127	759
144	128	757
145	128	754
146	129	751
147	130	748
148	130	744
149	130	741
150	131	738
151	131	735
152	132	732
153	132	728
154	133	726
155	133	723
156	134	720
157	134	718
158	135	715
159	135	712
160	136	709
161	136	706
162	136	703
163	137	700
164	137	697
165	138	694
166	138	691
167	139	688
168	139	686
169	140	684
170	140	682
171	141	679
172	141	676
173	141	673
174	142	671
175	142	668
176	143	666
177	143	663
178	144	660
179	144	658
180	144	655
181	145	652
182	145	651
183	146	649
184	147	647
185	147	645
186	147	642
187	148	640
188	148	638
189	149	636
190	149	634
191	150	631
192	150	629
193	150	627
194	151	625
195	151	623
196	152	621
197	152	619
198	153	617
199	153	615
200	154	613
201	154	611
202	155	609
203	155	607
204	156	605
205	156	603
206	156	601
207	157	599
208	157	597
209	158	595
210	158	593
211	159	591
212	159	590
213	160	588
214	160	586
215	161	584
216	161	582
217	161	580
218	162	578
219	162	576
220	163	575
221	163	573
222	164	571
223	164	569
224	165	569
225	165	568
226	166	566
227	166	565
228	167	563
229	167	561
230	168	560
231	168	558
232	169	556
233	169	555
234	170	553
235	170	551
236	170	550
237	171	548
238	171	547
239	172	546
240	172	544
241	173	543
242	173	541
243	174	540
244	174	539
245	175	537
246	176	536
247	176	535
248	177	534
249	177	533
250	178	532
251	178	530
252	179	529
253	179	528
254	180	526
255	180	525
256	181	524
257	181	522
258	182	521
259	182	519
260	182	518
261	183	516
262	183	515
263	184	514
264	185	513
265	185	512
266	186	510
267	186	509
268	186	507
269	187	506
270	187	504
271	188	503
272	188	501
273	188	500
274	189	499
275	189	498
276	190	497
277	190	496
278	191	494
279	191	493
280	192	492
281	192	491
282	193	489
283	193	488
284	194	487
285	194	486
286	195	484
287	195	483
288	196	482
289	196	481
290	197	480
291	197	479
292	198	477
293	198	476
294	198	475
295	199	474
296	199	472
297	200	471
298	200	470
299	201	469
300	201	468
301	201	466
302	202	465
303	202	464
304	203	463
305	204	462
306	204	461
307	204	460
308	205	459
309	205	458
310	206	456
311	206	455
312	207	454
313	207	453
314	208	452
315	208	451
316	209	451
317	209	450
318	210	449
319	211	448
320	211	447
321	212	446
322	212	445
323	213	444
324	213	443
325	213	442
326	214	441
327	214	440
328	215	439
329	215	438
330	216	437
331	216	436
332	217	435
333	217	434
334	218	433
335	218	431
336	219	430
337	219	429
338	219	428
339	220	427
340	220	426
341	221	425
342	221	424
343	222	423
344	222	422
345	223	421
346	223	420
347	224	419
348	224	418
349	224	417
350	225	416
351	225	415
352	226	414
353	226	413
354	227	412
355	227	411
356	228	410
357	228	409
358	229	408
359	229	407
360	229	406
361	230	405
362	230	404
363	231	403
364	231	402
365	232	401
366	232	400
367	232	399
368	233	398
369	233	397
370	234	397
371	234	396
372	235	395
373	235	394
374	236	393
375	236	392
376	237	391
377	237	390
378	237	389
379	238	388
380	238	387
381	239	386
382	239	386
383	240	385
384	240	384
385	241	383
386	241	382
387	242	382
388	242	381
389	243	380
390	243	379
391	244	378
392	244	377
393	244	376
394	245	375
395	245	374
396	246	373
397	246	372
398	247	372
399	247	371
400	248	370
401	248	369
402	248	368
403	249	367
404	249	366
405	250	366
406	250	365
407	250	364
408	251	363
409	251	362
410	252	361
411	252	360
412	253	359
413	253	359
414	254	358
415	254	357
416	254	356
417	255	355
418	255	354
419	256	353
420	256	353
421	257	352
422	257	351
423	257	350
424	258	349
425	258	348
426	259	347
427	259	347
428	260	346
429	260	345
430	261	344
431	261	343
432	262	343
433	262	342
434	262	341
435	263	340
436	263	339
437	264	339
438	264	338
439	265	337
440	265	336
441	266	336
442	266	335
443	267	334
444	267	333
445	268	333
446	268	332
447	269	331
448	269	330
449	270	330
450	270	329
451	270	328
452	271	327
453	271	326
454	272	326
455	272	325
456	273	324
457	273	324
458	274	323
459	274	322
460	275	322
461	275	321
462	276	320
463	276	319
464	277	318
465	277	318
466	278	317
467	278	316
468	279	316
469	279	315
470	280	314
471	280	313
472	280	312
473	281	312
474	281	311
475	282	310
476	282	309
477	282	309
478	283	308
479	283	307
480	284	306
481	284	306
482	285	305
483	285	304
484	286	304
485	286	303
486	287	302
487	287	301
488	288	301
489	288	300
490	288	299
491	289	298
492	289	298
493	290	297
494	290	296
495	291	295
496	291	295
497	292	294
498	292	293
499	293	293
500	293	292
501	294	291
502	294	290
503	294	290
504	295	289
505	295	288
506	296	288
507	296	287
508	297	286
509	297	285
510	298	285
511	298	284
512	298	283
513	299	283
514	299	282
515	300	281
516	300	280
517	301	280
518	301	279
519	301	278
520	302	277
521	302	277
522	303	276
523	303	275
524	304	275
525	304	274
526	305	273
527	305	273
528	306	272
529	306	271
530	306	271
531	307	270
532	307	269
533	308	269
534	308	268
535	309	267
536	310	267
537	310	266
538	311	266
539	311	265
540	312	264
541	312	264
542	312	263
543	313	262
544	313	261
545	314	261
546	314	260
547	315	259
548	315	259
549	316	258
550	316	258
551	317	257
552	317	256
553	318	256
554	318	255
555	318	254
556	319	253
557	319	253
558	320	252
559	320	251
560	320	251
561	321	250
562	321	249
563	322	249
564	322	248
565	323	247
566	323	247
567	324	246
568	324	246
569	325	245
570	325	244
571	326	244
572	326	243
573	326	242
574	327	241
575	327	241
576	328	240
577	328	240
578	329	239
579	329	238
580	330	238
581	330	237
582	331	236
583	331	236
584	332	235
585	332	234
586	332	234
587	333	233
588	333	232
589	334	232
590	334	231
591	335	231
592	335	230
593	336	229
594	336	229
595	337	228
596	337	227
597	337	227
598	338	226
599	338	225
600	339	225
601	339	224
602	340	223
603	340	223
604	340	222
605	341	221
606	341	221
607	342	220
608	342	220
609	343	219
610	343	218
611	344	218
612	344	217
613	344	216
614	345	216
615	345	215
616	346	214
617	346	214
618	346	213
619	347	212
620	348	212
621	348	211
622	349	211
623	349	210
624	350	210
625	350	209
626	350	208
627	351	208
628	351	207
629	352	206
630	352	206
631	353	205
632	353	204
633	354	204
634	354	203
635	355	203
636	355	202
637	356	202
638	356	201
639	357	200
640	357	200
641	358	199
