iter	Passed	Remaining
0	0	67
1	1	58
2	1	64
3	2	60
4	3	63
5	4	65
6	4	65
7	5	66
8	6	66
9	7	65
10	8	65
11	8	65
12	9	63
13	10	63
14	10	62
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	49
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	29	35
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	34	28
54	34	28
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
